step,phase,fr,max_fr,avg_threshold,avg_weight_pattern,avg_weight_noise
8100,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
8200,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
8300,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
8400,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
8500,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
8600,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
8700,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
8800,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
8900,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
9000,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
9100,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
9200,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
9300,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
9400,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
9500,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
9600,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
9700,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
9800,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
9900,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
10000,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
10100,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
10200,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
10300,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
10400,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
10500,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
10600,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
10700,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
10800,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
10900,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
11000,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
11100,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
11200,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
11300,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
11400,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
11500,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
11600,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
11700,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
11800,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
11900,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
12000,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
12100,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
12200,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
